,LONG,LAT,FIRST OCCURRENCES IN FOCAL AREA (t),LAST OCCURRENCES IN FOCAL AREA (t),OCCURRENCES IN FOCAL AREA (t),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t),HYP1,HYP2,HYP3,LOP0,LOP1,LOP2,OCCURRENCES IN FOCAL AREA (t-1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t-1),OCCURRENCES IN FOCAL AREA (t+1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t+1),PROPORTION OF FIRST OCCURRENCES IN FOCAL AREA (t),PROPORTION OF LAST OCCURRENCES IN FOCAL AREA (t),MEAN HYP,MEAN LOP,MAT,MAP,NPP,EXPECTED PROPORTION OF FIRST OCCURRENCES,EXPECTED PROPORTION OF LAST OCCURRENCES,OCCURRENCES WITHOUT SPECIATION,OCCURRENCES WITHOUT EXTINCTION
0,-6.300000000000018,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
5,-5.8000000000000185,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
10,-5.3000000000000185,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
15,-4.800000000000021,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
20,-4.300000000000024,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
25,-3.8000000000000256,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
30,-3.3000000000000287,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
35,-2.800000000000029,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
40,-2.300000000000031,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
45,-1.8000000000000331,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
50,-1.3000000000000345,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
55,-0.8000000000000362,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
60,-0.300000000000038,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
65,0.1999999999999602,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
70,0.6999999999999584,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
75,1.1999999999999569,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
80,1.6999999999999549,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
85,2.199999999999953,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
90,2.699999999999952,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
95,3.1999999999999496,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
100,3.699999999999948,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
105,4.199999999999946,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
110,4.699999999999943,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
115,5.1999999999999424,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
120,5.699999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
125,6.199999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
130,6.699999999999938,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
135,7.199999999999935,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
140,7.699999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
145,8.199999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
150,8.699999999999932,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
155,9.199999999999926,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
160,9.699999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
165,10.199999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
170,10.699999999999923,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
175,25.09999999999988,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
180,25.599999999999863,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
185,32.39999999999985,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
190,32.899999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
195,33.399999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
200,33.899999999999835,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
205,36.39999999999984,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
210,36.89999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
215,37.39999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
220,37.89999999999983,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
225,38.39999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
230,38.89999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
235,39.39999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
240,39.89999999999982,35.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
245,-5.900000000000018,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
250,-5.400000000000019,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
255,-4.900000000000022,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
260,-4.4000000000000234,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
265,-3.9000000000000252,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
270,-3.400000000000027,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
275,-2.9000000000000288,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
280,-2.4000000000000306,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
285,-1.9000000000000323,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
290,-1.4000000000000343,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
295,-0.9000000000000359,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
300,-0.4000000000000377,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
305,0.09999999999996056,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
310,0.5999999999999588,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
315,1.099999999999957,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
320,1.5999999999999552,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
325,2.099999999999953,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
330,2.5999999999999517,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
335,3.09999999999995,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
340,3.599999999999948,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
345,4.099999999999946,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
350,4.5999999999999455,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
355,5.0999999999999455,35.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,0.3088206934409411,0.2867304254353899,0.0,0.0
