LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
21390,47.383,8.05,MN6,1.0,1.0,1.0,1.0,1.0
27232,33.25,102.416666666667,MQ19,1.0,3.0,3.0,0.3333333333333333,1.0
27955,39.20999129999999,-1.544182,MN15,0.0,2.0,4.0,0.0,0.5
26550,38.51666666666669,46.5333333333333,MN12,0.0,0.0,1.0,0.0,0.0
28578,41.5326,1.788,MN7-8,3.0,3.0,9.0,0.3333333333333333,0.3333333333333333
28579,41.5326,1.7889,MN7-8,2.0,4.0,10.0,0.2,0.4
28580,41.5326,1.7889,MN7-8,2.0,2.0,4.0,0.5,0.5
28581,41.5326,1.7889,MN7-8,3.0,2.0,8.0,0.375,0.25
28582,41.5326,1.7889,MN7-8,6.0,2.0,17.0,0.35294117647058826,0.11764705882352941
28583,41.5326,1.7889,MN7-8,7.0,1.0,16.0,0.4375,0.0625
28584,41.53,1.78,MN7-8,7.0,1.0,11.0,0.6363636363636364,0.09090909090909091
28585,41.5326,1.7889,MN7-8,3.0,0.0,6.0,0.5,0.0
28586,41.5326,1.7889,MN7-8,5.0,0.0,9.0,0.5555555555555556,0.0
28587,41.5326,1.7889,MN7-8,3.0,5.0,14.0,0.21428571428571427,0.35714285714285715
28244,41.5341644,1.7659521,MN7-8,1.0,0.0,1.0,1.0,0.0
28245,41.5341644,1.7659521,MN7-8,1.0,1.0,1.0,1.0,1.0
28246,41.5341644,1.7659521,MN7-8,1.0,0.0,1.0,1.0,0.0
28260,41.5307542,1.6796126,MQ19,1.0,7.0,12.0,0.08333333333333333,0.5833333333333334
27566,41.5349068,-0.5587310999999999,MN2,0.0,0.0,1.0,0.0,0.0
20859,38.5,23.5,MN12,0.0,0.0,4.0,0.0,0.0
21650,48.433,12.367,MN7-8,0.0,0.0,1.0,0.0,0.0
20132,43.0,11.1,MN12,0.0,1.0,1.0,0.0,1.0
28692,-9.1375,-72.6951,MN11,20.0,21.0,21.0,0.9523809523809523,1.0
20133,26.451,48.59,MN4,1.0,1.0,4.0,0.25,0.25
27877,48.84025250000001,11.2234577,MN5,0.0,0.0,3.0,0.0,0.0
26814,31.6166666666667,-5.75,old,1.0,1.0,1.0,1.0,1.0
28329,10.362541829554702,40.22781372070313,MN13,4.0,0.0,4.0,1.0,0.0
20797,43.05,80.2,MN17,2.0,6.0,9.0,0.2222222222222222,0.6666666666666666
20079,48.05,1.85,MN4,6.0,0.0,12.0,0.5,0.0
20199,48.5667,11.5333,MN5,2.0,1.0,16.0,0.125,0.0625
22621,31.033,-6.567,MN13,0.0,1.0,2.0,0.0,0.5
22622,31.033,-6.567,MN13,0.0,0.0,1.0,0.0,0.0
22623,31.033,-6.567,MN12,2.0,1.0,2.0,1.0,0.5
22624,31.033,-6.567,MN9,3.0,1.0,4.0,0.75,0.25
22625,31.033,-6.567,MN10,0.0,1.0,1.0,0.0,1.0
22626,31.033,-6.567,MN13,1.0,1.0,5.0,0.2,0.2
28330,10.422988388338243,40.23399353027344,MN14,1.0,4.0,7.0,0.14285714285714285,0.5714285714285714
26846,31.1,-6.5833333333333295,MN16,0.0,1.0,3.0,0.0,0.3333333333333333
28013,35.2286111111111,33.639166666666696,MQ18,2.0,2.0,2.0,1.0,1.0
28281,14.9025,15.364444400000027,MN11,0.0,0.0,1.0,0.0,0.0
21624,41.85,-1.933,MN3,3.0,4.0,14.0,0.21428571428571427,0.2857142857142857
27890,40.67127979999999,-1.234348,old,6.0,6.0,6.0,1.0,1.0
23910,33.567,-7.55,MN17,22.0,24.0,38.0,0.5789473684210527,0.631578947368421
26888,10.0,42.0833333333333,MN16,1.0,0.0,2.0,0.5,0.0
23190,35.41900000000001,4.136,MN17,9.0,9.0,18.0,0.5,0.5
23893,33.0,9.0,MN16,7.0,3.0,12.0,0.5833333333333334,0.25
26834,35.3333333333333,4.0833333333333295,MN16,1.0,0.0,3.0,0.3333333333333333,0.0
20458,36.35,6.6,MN16,0.0,0.0,2.0,0.0,0.0
23189,35.417,4.133,MQ18,6.0,13.0,20.0,0.3,0.65
23911,36.183,5.4,MN17,4.0,4.0,10.0,0.4,0.4
26959,31.0,-8.0,MQ19,3.0,7.0,7.0,0.42857142857142855,1.0
26788,41.2,24.3333,MQ18,0.0,0.0,1.0,0.0,0.0
21188,52.2,59.35,MN16,0.0,1.0,3.0,0.0,0.3333333333333333
20823,42.95,80.05,MN15,1.0,1.0,4.0,0.25,0.25
23447,38.567,26.569000000000006,MN11,0.0,0.0,1.0,0.0,0.0
23449,38.058,27.626,MN4,1.0,0.0,4.0,0.25,0.0
23450,38.056,27.628,MN4,0.0,1.0,1.0,0.0,1.0
23649,38.571,29.109,MN10,2.0,2.0,10.0,0.2,0.2
23435,39.745,30.406,MN11,0.0,0.0,1.0,0.0,0.0
22919,37.25,28.25,MN12,1.0,2.0,8.0,0.125,0.25
27994,41.543333333333294,43.460833333333305,MQ18,11.0,6.0,16.0,0.6875,0.375
23555,38.838,27.717,MN7-8,2.0,0.0,3.0,0.6666666666666666,0.0
28004,43.8447222222222,39.3136111111111,MQ18,12.0,8.0,17.0,0.7058823529411765,0.47058823529411764
23274,38.404,30.323,MN10,0.0,0.0,4.0,0.0,0.0
23659,38.491,33.647,MN12,2.0,5.0,24.0,0.08333333333333333,0.20833333333333334
22934,49.667,57.333,MN5,0.0,0.0,1.0,0.0,0.0
