LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES,OCCURRENCES IN FOCAL AREA (t-1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t-1),OCCURRENCES IN FOCAL AREA (t+1),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t+1),FIRST OCCURRENCES IN FOCAL AREA (t),LAST OCCURRENCES IN FOCAL AREA (t),OCCURRENCES IN FOCAL AREA (t),UNWEIGHTED OCCURRENCES IN FOCAL AREA (t),PROPORTION OF FIRST OCCURRENCES IN FOCAL AREA (t),PROPORTION OF LAST OCCURRENCES IN FOCAL AREA (t),HYP1,HYP2,HYP3,LOP0,LOP1,LOP2,MEAN HYP,MEAN LOP,MAT,MAP,NPP,EXPECTED PROPORTION OF FIRST OCCURRENCES,EXPECTED PROPORTION OF LAST OCCURRENCES,NUMBER IMMIGRANT AND RESIDENT,NUMBER EMIGRANT AND RESIDENT,OCCURRENCES IMMIGRATION (t-1),OCCURRENCES IMMIGRATION (t),NUMBER IMMIGRANTS,NUMBER IMMIGRANTS (LOCALITY),OCCURRENCES EMIGRATION (t+1),OCCURRENCES EMIGRATION (t),NUMBER EMIGRANTS,NUMBER EMIGRANTS (LOCALITY),EXPECTED PROPORTION OF EMIGRATION,EXPECTED PROPORTION OF IMMIGRATION,SIGNIFICANCE FIRST,SIGNIFICANCE LAST,SIGNIFICANCE EMIGRATION,SIGNIFICANCE IMMIGRATION
21390,47.383,8.05,MN6,1.0,1.0,1.0,1.0,1.0,530.3730751628964,1075.0,549.9335653528769,1046.0,10.904668578157061,56.808463139465026,369.2860059384976,525.0,0.02952905986904137,0.1538332409729226,60.965267607167355,2.225485826015628,0.0,23.599984680399352,8.685352159835055,31.90541659294846,1.035218536021553,1.1293867335767351,10.638408784321381,1330.359710156803,1464.0420656546032,0.12556395823567154,0.14905587854501984,0.0,0.0,482.01835703209406,358.3813373603405,43.76059711065106,0.0,466.4822091860611,312.47754279903256,42.532335378851,0.0,0.06315989180156882,0.06760064327270501,0.9999999999863042,0.4202784310044193,2.3380602529289477e-06,0.00012600303119403162
27955,39.20999129999999,-1.544182,MN15,0.0,2.0,4.0,0.0,0.5,141.13969363745795,234.0,100.48889987251549,159.0,22.41315199987246,51.37747437589287,121.55708667779587,215.0,0.18438375427079515,0.42266128434022177,2.078778449756257,2.078778449756257,1.9046121316200768,1.3277968604587782,1.3277968604587782,3.406575310215035,1.9712699666997504,1.3429100111000831,18.196484261844468,761.2341641736307,956.347370548109,0.2857581262646539,0.2947997536721889,4.0,2.0,115.41835957447279,99.14393467792341,16.26328597435214,1.0,70.08095803064032,70.179612301903,16.593409428974127,0.0,0.3770766976695923,0.3564861607714865,0.9962940062031941,0.0018208487728223457,0.9957931089159626,0.9999936280241879
28578,41.5326,1.788,MN7-8,3.0,3.0,9.0,0.3333333333333333,0.3333333333333333,198.93628896645455,505.0,513.3890438346042,623.0,122.27032834760564,72.8460017013105,425.63424504749855,620.0,0.28726619103207,0.17114694728846658,107.62946861026474,1.4458528114607332,0.4617715847124037,62.00672358797117,21.476461674276184,28.602539080452622,1.021630991985028,0.7019764586131783,21.178898578202613,1703.4010329316175,1914.264859284382,0.26578189155224463,0.15227396267310336,6.0,6.0,178.28394493629293,303.3639166998929,37.18016410337489,0.0,411.482144966764,352.78824334618804,22.959718110994892,0.0,0.08141673349453016,0.22244338021167004,0.17119675794347833,0.15477849277573152,0.8916541971446887,0.9999971713207434
28579,41.5326,1.7889,MN7-8,2.0,4.0,10.0,0.2,0.4,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,8.0,6.0,178.23514999290015,303.34972949193434,37.179718237348006,0.0,411.5057295377222,352.77894916719544,22.95881923625452,0.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
28580,41.5326,1.7889,MN7-8,2.0,2.0,4.0,0.5,0.5,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,2.0,2.0,178.23514999290015,303.34972949193434,37.179718237348006,0.0,411.5057295377222,352.77894916719544,22.95881923625452,0.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
28581,41.5326,1.7889,MN7-8,3.0,2.0,8.0,0.375,0.25,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,5.0,6.0,178.23514999290015,303.34972949193434,37.179718237348006,0.0,411.5057295377222,352.77894916719544,22.95881923625452,0.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
28582,41.5326,1.7889,MN7-8,6.0,2.0,17.0,0.35294117647058826,0.1176470588235294,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,11.0,15.0,178.23514999290015,303.34972949193434,37.179718237348006,2.0,411.5057295377222,352.77894916719544,22.95881923625452,3.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
28583,41.5326,1.7889,MN7-8,7.0,1.0,16.0,0.4375,0.0625,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,9.0,15.0,178.23514999290015,303.34972949193434,37.179718237348006,1.0,411.5057295377222,352.77894916719544,22.95881923625452,1.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
28584,41.53,1.78,MN7-8,7.0,1.0,11.0,0.6363636363636364,0.09090909090909093,199.3306559939932,505.0,513.0611029198259,623.0,122.25511786661569,72.86503908853723,425.6717372576222,620.0,0.2872051563823352,0.17117659621465153,107.65727136673023,1.4486051998207363,0.4631770835228675,62.02272919572872,21.486220244189372,28.618652027860154,1.0216754575105786,0.7020887209696732,21.176694417307182,1703.2862056337647,1914.1341602034838,0.2655712270645613,0.15233911628216684,4.0,10.0,178.64404057132344,303.41661939100675,37.17658265412502,1.0,411.22628074829424,352.80669816908517,22.96192746648544,2.0,0.08151727021434267,0.22216626145754312,0.16938180714724982,0.1552793267517396,0.8928568538336693,0.9999970500841789
28585,41.5326,1.7889,MN7-8,3.0,0.0,6.0,0.5,0.0,198.88225434412757,505.0,513.4203068594544,623.0,122.27053528196205,72.84131560670086,425.62026477389634,620.0,0.2872761130086609,0.17114155888558688,107.62251298812171,1.445498974535433,0.4616229939608781,62.00200844785302,21.47472093257109,28.600450682717675,1.0216265211090625,0.7019771754935514,21.17881888641692,1703.402258183371,1914.2654715638928,0.2658104278873645,0.15226855307641887,3.0,6.0,178.23514999290015,303.34972949193434,37.179718237348006,0.0,411.5057295377222,352.77894916719544,22.95881923625452,0.0,0.08140770975968786,0.22248333141105595,0.17142691006124233,0.1547791549031644,0.8915514920078969,0.9999971880851859
